OBJECTID,AssetID,AssetStatus,AssetName,Owner,InstallDate,Type,Lng,Lat
17,PS030,In Service,LINKS AVE,TCC,1/07/1974,Rising Main,176.2144625,-37.6687682
11,PS031,In Service,SURF RD,TCC,1/09/1983,Rising Main,176.2155115,-37.65918575
66,PS032,In Service,OCEANBEACH RD,TCC,1/09/1983,Rising Main,176.218436,-37.66237416
19,PS033,In Service,BERESCOURT PL,TCC,1/02/1979,Rising Main,176.2239513,-37.66794735
5,PS034,In Service,YORK AVE,TCC,1/05/1983,Rising Main,176.1928069,-37.65615
24,PS035,In Service,INVERELL PL,TCC,1/03/1979,Rising Main,176.2288681,-37.68124007
10,PS036,In Service,RANCH RD,TCC,1/10/1984,Rising Main,176.2079782,-37.65906678
108,PS037,In Service,PRINCESS RD,TCC,1/08/1975,Rising Main,176.1223451,-37.67863565
12,PS038,In Service,BAY ST,TCC,1/05/1984,Rising Main,176.1202501,-37.67250254
23,PS039,In Service,JONATHON ST,TCC,1/01/1982,Rising Main,176.1319417,-37.69337259
113,PS040,In Service,WESTWOOD ST,TCC,1/11/1975,Rising Main,176.1228478,-37.68263476
13,PS041,In Service,SYLVANIA DRV,TCC,1/10/2006,Rising Main,176.1291643,-37.66925904
85,PS042,In Service,ELIZABETH ST,TCC,1/01/2000,Rising Main,176.1703637,-37.68757168
107,PS043,In Service,PAPAMOA BEACH RD,TCC,1/11/1994,Rising Main,176.3057684,-37.70469177
131,PS044,In Service,GRAHAM PL,TCC,1/12/2005,Rising Main,176.1250232,-37.68556689
50,PS045,In Service,WYLIE ST,TCC,1/08/1982,Rising Main,176.1280264,-37.71815014
116,PS046,In Service,TOWNHEAD CRES,TCC,1/02/1979,Rising Main,176.1286181,-37.70691041
73,PS047,In Service,TOTARA/MAUI,TCC,1/07/1982,Rising Main,176.1873099,-37.662185
41,PS048,In Service,MOIRI PL,TCC,1/07/1984,Rising Main,176.1693176,-37.72211294
68,PS049,In Service,ANCHORAGE GR,TCC,1/05/1983,Rising Main,176.1747464,-37.71739423
56,PS050,In Service,WINDERMERE DRV,TCC,1/05/1985,Rising Main,176.149906,-37.73526041
162,PS051,In Service,TURRET RD,TCC,1/05/1982,Rising Main,176.1647982,-37.71556941
48,PS052,In Service,BEACH RD,TCC,1/09/1982,Gravity Lift,176.1395195,-37.66234676
34,PS053,In Service,JASPER WAY,TCC,1/10/1984,Rising Main,176.2913156,-37.70301602
1,PS054,In Service,THE MALL,TCC,12/07/1976,Rising Main,176.1796142,-37.6367207
37,PS055,In Service,DONCASTER DRV,TCC,1/12/1984,Rising Main,176.2898188,-37.70716803
47,PS056,In Service,RANGE RD,TCC,1/08/1988,Rising Main,176.2578329,-37.68666193
35,PS057,In Service,WIKITORIA ST,TCC,1/06/1983,Rising Main,176.1868159,-37.71067497
36,PS058,In Service,LONGSTEAD AVE,TCC,1/05/1989,Rising Main,176.2863612,-37.70669429
29,PS059,In Service,GRAVATT RD,TCC,1/11/1987,Rising Main,176.2652777,-37.69700544
87,PS061,In Service,PARTON RD,TCC,1/05/1993,Rising Main,176.3138308,-37.71072172
97,PS062,In Service,JUDEA,TCC,1/06/1973,Rising Main,176.1516798,-37.69752187
80,PS063,In Service,NGATAI RD,TCC,1/07/1993,Rising Main,176.1309322,-37.6735037
49,PS064,In Service,MEADOWLAND ST,TCC,22/02/1973,Rising Main,176.1346715,-37.6676705
64,PS065,In Service,MARSHALL AVE,TCC,1/02/1995,Rising Main,176.1170931,-37.73186301
61,PS066,In Service,CHECKETTS PL,TCC,1/08/1994,Rising Main,176.2606697,-37.69418811
92,PS067,In Service,OMANU IRRIGATION,TCC,1/11/1994,Rising Main,176.2100192,-37.67220119
62,PS069,In Service,SANTA MONICA DRV,TCC,22/05/1995,Rising Main,176.27979,-37.69869765
39,PS070,In Service,SIMPSON RD,TCC,1/06/1995,Rising Main,176.3221075,-37.71187016
26,PS071,In Service,SANDHURST DRV,TCC,1/09/1996,Rising Main,176.2482995,-37.68379394
38,PS072,In Service,DALTON DRV,TCC,1/05/1995,Rising Main,176.3058646,-37.70867228
86,PS073,In Service,THE STRAND,TCC,19/01/2000,Rising Main,176.1702301,-37.68083367
76,PS074,In Service,FERGUSSON PARK,TCC,1/01/1984,Rising Main,176.1229182,-37.66283736
71,PS075,In Service,POIKE,TCC,1/05/2000,Rising Main,176.1484074,-37.72982214
70,PS076,In Service,ILA PL,TCC,1/05/1986,Rising Main,176.1625109,-37.7302623
28,PS077,In Service,CATALINA KEY,TCC,1/10/1995,Rising Main,176.2714821,-37.6946029
63,PS078,In Service,PACIFIC VIEW RD,TCC,1/11/1996,Rising Main,176.254535,-37.6921337
53,PS079,In Service,FANTAIL DRV,TCC,1/04/1990,Rising Main,176.1809067,-37.71992244
4,PS080,In Service,TAURANGA MARINA,TCC,1/08/1992,Rising Main,176.1682924,-37.66171503
75,PS081,In Service,TITOKI PL,TCC,1/04/1984,Rising Main,176.222429,-37.6812271
67,PS082,In Service,AERODROME RD,TCC,1/05/1983,Rising Main,176.2034046,-37.6655005
16,PS083,In Service,JEAN BATTEN DRV,TCC,1/05/1988,Rising Main,176.1972747,-37.6663374
15,PS084,In Service,TOTARA ST SOUTH,TCC,1/05/1988,Rising Main,176.1870286,-37.66840704
18,PS085,In Service,MATAPIHI RD,TCC,1/09/1989,Rising Main,176.2125671,-37.67733493
25,PS086,In Service,FAHEY AVE,TCC,1/04/1996,Rising Main,176.2343441,-37.67919172
1072,PS087,In Service,Coach Drv,TCC,1/09/2019,Rising Main,176.1465057,-37.67842693
60,PS088,In Service,LONGVIEW DRV,TCC,1/10/1995,Rising Main,176.2988068,-37.70605547
40,PS089,In Service,TAYLOR RD,TCC,1/08/1995,Rising Main,176.3294461,-37.71185741
30,PS090,In Service,PALM BEACH BLVD,TCC,1/06/1998,Rising Main,176.2712706,-37.69876935
88,PS091,In Service,BRIDGE MARINA (Port),Port of Tauranga,1/10/1996,Rising Main,176.1794364,-37.66986571
198,PS092,In Service,AVIATION AVE,TCC,1/05/1997,Rising Main,176.2071948,-37.66918301
55,PS093,In Service,STABLEFORD DRV,TCC,23/03/1997,Rising Main,176.118166,-37.73712733
195,PS094,In Service,MOTITI RD,TCC,15/06/1995,Rising Main,176.3351381,-37.71408813
196,PS095,In Service,GOLDEN SANDS,TCC,1/01/1997,Rising Main,176.3415771,-37.71948209
197,PS096,In Service,MOTITI RESERVE,TCC,1/04/1998,Rising Main,176.3405604,-37.71604638
78,PS098,In Service,PACIFIC COVE DRV,TCC,1/12/1998,Rising Main,176.2821005,-37.70616985
84,PS099,In Service,BROOK ST,TCC,1/11/1978,Rising Main,176.1504849,-37.71492888
79,PS100,In Service,ARABIAN DRV,TCC,1/11/1998,Rising Main,176.2585257,-37.69731645
100,PS101,In Service,35A OCEANBEACH ROAD (MINI),TCC,1/12/1989,Rising Main,176.2112932,-37.65651498
9,PS102,In Service,61A OCEANBEACH RD (MINI),TCC,1/12/1984,Rising Main,176.213312,-37.65733449
102,PS103,In Service,309A OCEANBEACH ROAD (MINI),TCC,1/01/1985,Rising Main,176.2290799,-37.66901632
122,PS105,In Service,SHORT PL,TCC,1/01/1998,Rising Main,176.3470881,-37.71899172
90,PS106,In Service,MARJORIE LANE,TCC,1/01/1998,Rising Main,176.354856,-37.72238262
89,PS107,In Service,GOLDEN COURIE CLOSE,TCC,1/01/2000,Rising Main,176.351798,-37.72377595
91,PS108,In Service,KEREITI ST,TCC,1/04/2000,Rising Main,176.1919624,-37.6647696
91,PS108,In Service,KEREITI ST,TCC,1/04/2000,Rising Main,176.1919624,-37.6647696
96,PS109,In Service,GLOUCESTER RD,TCC,1/06/2000,Rising Main,176.2477825,-37.68935389
98,PS110,In Service,WAIMAPU ST,TCC,1/06/2000,Rising Main,176.1424402,-37.72837874
114,PS111,In Service,CAMBRIDGE RD,TCC,1/06/2001,Rising Main,176.122514,-37.7072258
118,PS112,In Service,ORIENTAL PARADE,TCC,1/03/2000,Rising Main,176.2752466,-37.70371197
119,PS113,In Service,CARMICHAEL RD,TCC,1/06/2002,Rising Main,176.1193417,-37.6876743
120,PS114,In Service,PALM SPRINGS BLVD,TCC,1/02/2003,Rising Main,176.3313826,-37.71519183
121,PS115,In Service,BETHLEHEM,TCC,1/09/2002,Rising Main,176.1266305,-37.69549474
124,PS116,In Service,ADLER DRV,TCC,1/06/2003,Rising Main,176.168194,-37.74790079
125,PS117,In Service,HARRY CLOSE,TCC,10/10/2003,Rising Main,176.3471316,-37.72308288
138,PS118,In Service,FRASER COVE,TCC,11/11/2003,Rising Main,176.1512359,-37.710508
126,PS119,In Service,ASHLEY PLACE,TCC,1/04/2004,Rising Main,176.3141177,-37.71392388
127,PS120,In Service,DONCASTER DRIVE (EAST),TCC,23/01/2006,Rising Main,176.2959207,-37.70885701
130,PS121,In Service,ROXANNE PLACE,TCC,31/08/2004,Rising Main,176.1443976,-37.73873272
132,PS122,In Service,SOLOMON ST,TCC,1/07/2005,Rising Main,176.1257368,-37.69214967
128,PS123,In Service,HOLLISTER LANE,TCC,1/10/2004,Rising Main,176.150629,-37.74492087
129,PS125,In Service,GRAVATT RD EAST,TCC,21/03/2005,Rising Main,176.2825926,-37.70145072
134,PS126,In Service,EBBTIDE WAY,TCC,22/04/2005,Rising Main,176.1863929,-37.71617212
